Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Holy Smokes,Casual Dining,"['Grill House', 'Steak']",Senopati,4.4,"1,437 Ulasan",-6.2391432684,106.807954162,"https://www.zomato.com/id/jakarta/holy-smokes-senopati
","Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",Rp500.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Hanya Wine dan Bir', 'Di dalam ruangan', 'Wifi Tersedia', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat']"
Pempek Megaria,Quick Bites,['Palembang'],Cikini,4.3,461 Ulasan,-6.1999000000,106.843739000,"https://www.zomato.com/id/jakarta/pempek-megaria-cikini
","Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Tjikinii Lima,Casual Dining,"['Barat', 'Indonesia']",Cikini,4.0,391 Ulasan,-6.1898019937,106.837150007,"https://www.zomato.com/id/jakarta/tjikinii-lima-cikini
","Jl. Cikini I No. 5, Cikini, Jakarta 10330",Rp300.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Area Merokok', 'Tempat duduk di luar', 'Ruang Sholat', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan']"
Gado-Gado Bon-Bin,Quick Bites,['Jawa'],Cikini,4.0,177 Ulasan,-6.1929590000,106.838377000,"https://www.zomato.com/id/jakarta/gado-gado-bon-bin-cikini
","Jl. Cikini 4 No. 5, Cikini, Jakarta",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Koffie Fictie,Kafe,['Kopi'],Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2720590000,106.970932000,"https://www.zomato.com/id/jakarta/koffie-fictie-bekasi-selatan-bekasi
","Grand Galaxy Park, Ruko RSOD No. 026, Jl. Lotus Utara, Bekasi Selatan, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Soto Mie Bogor,Kios,['Soto'],Setiabudi,Not Rated Yet,TIdak cukup Ulasan,-6.2135949475,106.829066164,"https://www.zomato.com/id/jakarta/soto-mie-bogor-setiabudi
","Loksem JS 03 - Setiabudi Selatan, Jl. H.R. Rasuna Said Kav. C3, Kuningan, Jakarta",Rp30.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Kaki5 Bersertifikat BPOM']"
Soto Adam,Food Court,['Soto'],Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.2864450000,106.664567000,"https://www.zomato.com/id/jakarta/soto-adam-serpong-tangerang
","ITC BSD, Lantai 2, Food Court, Jl. Pahlawan Seribu,, Tangerang, Serpong Utara, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Ini Yaya,Food Court,['Indonesia'],Thamrin,Not Rated Yet,TIdak cukup Ulasan,-6.1848350000,106.823781000,"https://www.zomato.com/id/jakarta/ini-yaya-thamrin
","Thamrin 10, Jl. M.H Thamrin No. 10, Thamrin, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Pempek 99,Quick Bites,"['Palembang', 'Indonesia']",Cinere,Not Rated Yet,TIdak cukup Ulasan,-6.3334450000,106.783861000,"https://www.zomato.com/id/jakarta/pempek-99-cinere-depok
","Sentra Bazaar Cinere, Lantai Ground, Jl. Cinere Raya, Cinere, Depok Depok, Cinere, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kantin Berkah Jaya,Food Court,['Jawa'],Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1548550781,106.849399656,"https://www.zomato.com/id/jakarta/kantin-berkah-jaya-gunung-sahari
","Mega Glodok Kemayoran, Lantai 3, Food Court, Jl. Angkasa, Gunung Sahari, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Di dalam ruangan']"
Ayam Bakar Samrat,Quick Bites,"['Manado', 'Indonesia']",Karet,Not Rated Yet,TIdak cukup Ulasan,-6.2174999518,106.819276772,"https://www.zomato.com/id/jakarta/ayam-bakar-samrat-karet
","Jl. Prof. DR. Satrio No. 21 C, Karet, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Sakeca - Horison Hotel Ciledug,Lounge,"['Hanya Minuman', 'Kopi', 'Tea']",Larangan,Not Rated Yet,TIdak cukup Ulasan,-6.2375080000,106.746905000,"https://www.zomato.com/id/jakarta/sakeca-horison-hotel-ciledug-larangan-tangerang
","Hotel Horison Ciledug, Jl. Ciledug Raya No. 17, Larangan, Tangerang",Rp100.000 untuk 2 orang (perkiraan)dengan alkohol,"['Bawa Pulang Tersedia', 'Hanya Bir', 'Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Menyediakan cocktail', 'Reservasi meja direkomendasikan', 'Wifi Tersedia']"
Monkey Bean Corner,Toko Minuman,"['Kafe', 'Kopi', 'Kafe', 'Snacks']",Kuningan,Not Rated Yet,TIdak cukup Ulasan,-6.2268530457,106.825284250,"https://www.zomato.com/id/jakarta/monkey-bean-corner-kuningan
","CoHive 101, Jl. Mega Kuningan Barat, Blok E No. 1, Kuningan. Jakarta",Rp120.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Udang Lotus,Food Court,"['Bakmi', 'Indonesia']",Mangga Dua,Not Rated Yet,TIdak cukup Ulasan,-6.1358941611,106.823124736,"https://www.zomato.com/id/jakarta/bakmi-udang-lotus-mangga-dua
","Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Dapoer Temen Gue,Quick Bites,"['Indonesia', 'Snacks']",Meruya,Not Rated Yet,TIdak cukup Ulasan,-6.2190190000,106.731445000,"https://www.zomato.com/id/jakarta/dapoer-temen-gue-meruya
","Jl. Joglo Raya No.69, Meruya, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Tempat duduk di luar', 'Area Merokok']"
Chicken Jab,Food Court,['Indonesia'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2868642572,106.727884523,"https://www.zomato.com/id/jakarta/chicken-jab-pondok-aren-tangerang
","Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",Rp120.000 untuk 2 orang (perkiraan),['Di dalam ruangan']
Coffee Don Go,Toko Minuman,"['Kopi', 'Minuman', 'Snacks']",Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.2999050000,106.681558000,"https://www.zomato.com/id/jakarta/coffee-don-go-serpong-tangerang
","BSD Sektor 1.2, Jl. Rawabuntu Utara, Blok V2 No. 21A, Serpong, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Dapoer Prasmanan Aunty Nelly,Quick Bites,['Indonesia'],Kelapa Gading,Not Rated Yet,TIdak cukup Ulasan,-6.1493090000,106.909265000,"https://www.zomato.com/id/jakarta/dapoer-prasmanan-aunty-nelly-kelapa-gading
","Boulevard Raya Blok QF 1 No.25., Kelapa Gading, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pawon Demak,Food Court,['Jawa'],Kampung Melayu,Not Rated Yet,TIdak cukup Ulasan,-6.2449040000,106.875444000,"https://www.zomato.com/id/jakarta/pawon-demak-kampung-melayu
","Tamansari Hive, Lantai 2, Wiki Wiki Wok, Food Runway, Jl. D.I. Panjaitan, Kampung Melayu, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Wifi Tersedia']"
Lovely Geprek,Food Court,['Indonesia'],Beji,Not Rated Yet,TIdak cukup Ulasan,-6.3726682135,106.832375675,"https://www.zomato.com/id/jakarta/lovely-geprek-beji-depok
","Depok Town Square, Lantai 2, Food Square, Jl. Margonda Raya, Beji, Depok",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Rumah Makan Mutiara Sunda,Quick Bites,['Sunda'],Medan Satria,Not Rated Yet,TIdak cukup Ulasan,-6.1861670000,106.980944000,"https://www.zomato.com/id/jakarta/rumah-makan-mutiara-sunda-medan-satria-bekasi
","Jl. Boulevard Hijau, Blok B8 No. 53, Medan Satria, Bekasi",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Tempat duduk di luar']"
Booba House,Toko Minuman,"['Minuman', 'Bubble Tea']",Tanjung Duren,Not Rated Yet,TIdak cukup Ulasan,-6.1819540000,106.783637000,"https://www.zomato.com/id/jakarta/booba-house-tanjung-duren
","Jl. Tanjung Duren Raya No. 526B, Tanjung Duren, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Siomay Batagor Satya Tenggiri,Kaki Lima,['Indonesia'],Sunter,Not Rated Yet,TIdak cukup Ulasan,-6.1387440000,106.861207000,"https://www.zomato.com/id/jakarta/siomay-batagor-satya-tenggiri-sunter
","Jl. Agung Utara 24 No. 23, Sunter, Jakarta",Rp50.000 untuk 2 orang (perkiraan),['No Additional Info']
Warung Kopi Gue,Quick Bites,"['Kopi', 'Snacks']",Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1423042134,106.842955648,"https://www.zomato.com/id/jakarta/warung-kopi-gue-gunung-sahari
","Jl. Pademangan 1 Raya, Gg. 5 No.1B, Gunung Sahari",Rp100.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Area Merokok']"
