Restaurant Name,Restaurant Area,Restaurant Address,Latitude,Longitude,Province,City,District/Kecamatan
Holy Smokes,Senopati,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",-6.2391432684,106.807954162,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Pempek Megaria,Cikini,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",-6.1999,106.843739,DKI Jakarta,Jakarta Pusat,Menteng
Tjikinii Lima,Cikini,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",-6.1898019937,106.837150007,DKI Jakarta,Jakarta Pusat,Menteng
Gado-Gado Bon-Bin,Cikini,"Jl. Cikini 4 No. 5, Cikini, Jakarta",-6.192958999999999,106.838377,DKI Jakarta,Jakarta Pusat,Menteng
Koffie Fictie,Bekasi Selatan,"Grand Galaxy Park, Ruko RSOD No. 026, Jl. Lotus Utara, Bekasi Selatan, Bekasi",-6.272059,106.970932,Jawa Barat,Bekasi Kota,Bekasi Selatan
Soto Mie Bogor,Setiabudi,"Loksem JS 03 - Setiabudi Selatan, Jl. H.R. Rasuna Said Kav. C3, Kuningan, Jakarta",-6.2135949475,106.829066164,DKI Jakarta,Jakarta Selatan,Setiabudi
Soto Adam,Serpong,"ITC BSD, Lantai 2, Food Court, Jl. Pahlawan Seribu,, Tangerang, Serpong Utara, Jakarta",-6.286445,106.664567,Banten,Tangerang Selatan,Serpong
Ini Yaya,Thamrin,"Thamrin 10, Jl. M.H Thamrin No. 10, Thamrin, Jakarta",-6.184835,106.823781,DKI Jakarta,Jakarta Pusat,Menteng
Pempek 99,Cinere,"Sentra Bazaar Cinere, Lantai Ground, Jl. Cinere Raya, Cinere, Depok Depok, Cinere, Jakarta",-6.333444999999998,106.78386100000002,Jawa Barat,Depok,Cinere
Kantin Berkah Jaya,Gunung Sahari,"Mega Glodok Kemayoran, Lantai 3, Food Court, Jl. Angkasa, Gunung Sahari, Jakarta",-6.1548550781,106.849399656,DKI Jakarta,Jakarta Pusat,Kemayoran
Ayam Bakar Samrat,Karet,"Jl. Prof. DR. Satrio No. 21 C, Karet, Jakarta",-6.2174999518,106.81927677200001,DKI Jakarta,Jakarta Selatan,Setiabudi
Sakeca - Horison Hotel Ciledug,Larangan,"Hotel Horison Ciledug, Jl. Ciledug Raya No. 17, Larangan, Tangerang",-6.237508,106.746905,Banten,Tangerang Kota,Larangan
Monkey Bean Corner,Kuningan,"CoHive 101, Jl. Mega Kuningan Barat, Blok E No. 1, Kuningan. Jakarta",-6.2268530457,106.82528425,DKI Jakarta,Jakarta Selatan,Setiabudi
Bakmi Udang Lotus,Mangga Dua,"Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",-6.1358941611,106.823124736,DKI Jakarta,Jakarta Utara,Pademangan
Dapoer Temen Gue,Meruya,"Jl. Joglo Raya No.69, Meruya, Jakarta",-6.219019,106.731445,DKI Jakarta,Jakarta Barat,Kembangan
Chicken Jab,Pondok Aren,"Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",-6.2868642572,106.72788452299999,Banten,Tangerang Selatan,Pondok Aren
Coffee Don Go,Serpong,"BSD Sektor 1.2, Jl. Rawabuntu Utara, Blok V2 No. 21A, Serpong, Tangerang",-6.299905,106.681558,Banten,Tangerang Selatan,Serpong
Dapoer Prasmanan Aunty Nelly,Kelapa Gading,"Boulevard Raya Blok QF 1 No.25., Kelapa Gading, Jakarta",-6.149309,106.909265,DKI Jakarta,Jakarta Utara,Kelapa Gading
Pawon Demak,Kampung Melayu,"Tamansari Hive, Lantai 2, Wiki Wiki Wok, Food Runway, Jl. D.I. Panjaitan, Kampung Melayu, Jakarta",-6.244904,106.875444,DKI Jakarta,Jakarta Timur,Jatinegara
Lovely Geprek,Beji,"Depok Town Square, Lantai 2, Food Square, Jl. Margonda Raya, Beji, Depok",-6.3726682135,106.832375675,Jawa Barat,Depok,Beji
Rumah Makan Mutiara Sunda,Medan Satria,"Jl. Boulevard Hijau, Blok B8 No. 53, Medan Satria, Bekasi",-6.186167,106.980944,Jawa Barat,Bekasi Kota,Medan Satria
Booba House,Tanjung Duren,"Jl. Tanjung Duren Raya No. 526B, Tanjung Duren, Jakarta",-6.181954,106.783637,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Siomay Batagor Satya Tenggiri,Sunter,"Jl. Agung Utara 24 No. 23, Sunter, Jakarta",-6.138744,106.861207,DKI Jakarta,Jakarta Utara,Tanjung Priok
Warung Kopi Gue,Gunung Sahari,"Jl. Pademangan 1 Raya, Gg. 5 No.1B, Gunung Sahari",-6.1423042134,106.84295564799999,DKI Jakarta,Jakarta Utara,Pademangan
Nasi Bakar Pangestu,Mangga Besar,"Jl. Taman Sari Vlll No. 104, Mangga Besar, Jakarta",-6.156111,106.819705,DKI Jakarta,Jakarta Barat,Tamansari
Teguk,Cimanggis,"Jl. H. Moat, Cimanggis, Depok",-6.3556855015,106.84276655299999,Jawa Barat,Depok,Cimanggis
Sate Taichan Yoman,Daan Mogot,"Food & Fit Station, Ruko CityWalk, Blok C No. 15-17. Jl. Kresek Raya No. 89, Daan Mogot, Jakarta",-6.177664,106.715109,DKI Jakarta,Jakarta Barat,Cengkareng
Bakmi Keriting Pematang Siantar 36,Grogol,"Jl. Dr. Susilo III No. 18-22, Grogol, Jakarta",-6.164416,106.791492,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Takoyaki Octopus Ball,Pinang Ranti,"Tamini Square, Lantai Upper Ground, Jl. Taman Mini 1, Pinang Ranti, Jakarta",-6.2912439390999975,106.88196167299999,DKI Jakarta,Jakarta Timur,Makasar
