Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
Holy Smokes,['Casual Dining'],"['Grill House', 'Steak']",['Barat'],500000,4.4,1437,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Wifi Tersedia']"
Pempek Megaria,['Quick Bites'],['Pempek'],['Palembang'],70000,4.3,461,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Tjikinii Lima,['Casual Dining'],['Kopi'],"['Indonesia', 'Barat']",300000,4.0,391,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",Menteng,Jakarta Pusat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Gado-Gado Bon-Bin,['Quick Bites'],['Makanan Sehat'],"['Jawa', 'Indonesia']",90000,4.0,177,"Jl. Cikini 4 No. 5, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
RM Wong Tegal,['Quick Bites'],['Satay'],"['Jawa', 'Indonesia']",100000,3.9,12,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Martabak Elin Bandung,['Dessert Parlor'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],80000,3.9,26,"Jl. Pinang Mas III/A 8, Pondok Indah, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Pesan Antar']"
Bakso Sapi Rudi,['Quick Bites'],"['Bakso', 'Meat']",['Indonesia'],60000,3.9,22,"Jl. Rajawali Selatan I No. 54A, Gunung Sahari, Jakarta",Sawah Besar,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
A Siang,['Quick Bites'],['Kopi'],['Chinese'],65000,3.9,7,"Ruko Taman Palem Lestari, Blok B16 No. 9, Jl. Taman Palem Lestari, Cengkareng, Jakarta",Cengkareng,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Tropicale Juice Bar,['Toko Minuman'],"['Desserts', 'Jus', 'Minuman']",['Indonesia'],50000,3.9,9,"Ampera Garden, Jl. Ampera Raya No. 116, Cilandak, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Pesan Antar']"
Sate Taichan Bang Tetew,['Quick Bites'],['Satay'],['Indonesia'],80000,3.9,36,"Jl. Danau Sunter Utara, Blok J 12 No. 26-28, Sunter, Jakarta 14350",Tanjung Priok,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Makan Dengan Grup', 'Bawa Pulang Tersedia']"
Kopi Lugu,['Toko Minuman'],"['Kopi', 'Minuman', 'Makanan Jalanan']",['No Region'],60000,3.9,9,"Epicentrum Walk, Lantai Ground, Jl. HR. Rasuna Said, Kuningan, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Ruang Pribadi Tersedia', 'Pesan Antar']"
Nasi Uduk Mpok Iyoh,['Quick Bites'],['Kopi'],"['Asia', 'Indonesia', 'Betawi']",100000,3.9,36,"Jl. Pahlawan No. 95, Ciputat Timur, Tangerang",Ciputat Timur,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pinokio Asli,['Kaki Lima'],['Seafood'],['Chinese'],100000,3.9,8,"Jl. Samanhudi No. 40B, Pasar Baru, Jakarta",Sawah Besar,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Cirengcrispi,"['Food Court', 'Kios']",['Snacks'],['Sunda'],40000,3.9,6,"Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Queen Café & Restaurant,"['Casual Dining', 'Kafe']",['Minuman'],"['Asia', 'Barat']",250000,3.9,8,"Ruko Mendrizio Square New, Jl. Jendral Sudirman No. 68-69, Serpong Utara, Tangerang 15639",Pagedangan,Tangerang Kabupaten,Banten,"['Pesan Antar', 'Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia']"
