,Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Address,Restaurant Rating,Restaurant Review,City,Province,Latitude,Longitude
0,Holy Smokes,['Casual Dining'],"['Grill House', 'Steak']",['Barat'],500000,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",4.4,1437,Jakarta Selatan,DKI Jakarta,-6.2391432684,106.807954162
1,Pempek Megaria,['Quick Bites'],['Pempek'],['Palembang'],70000,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",4.3,461,Jakarta Pusat,DKI Jakarta,-6.1999,106.843739
2,Tjikinii Lima,['Casual Dining'],['Kopi'],"['Indonesia', 'Barat']",300000,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",4.0,391,Jakarta Pusat,DKI Jakarta,-6.1898019937,106.837150007
3,Gado-Gado Bon-Bin,['Quick Bites'],['Makanan Sehat'],"['Jawa', 'Indonesia']",90000,"Jl. Cikini 4 No. 5, Cikini, Jakarta",4.0,177,Jakarta Pusat,DKI Jakarta,-6.192958999999999,106.838377
4,RM Wong Tegal,['Quick Bites'],['Satay'],"['Jawa', 'Indonesia']",100000,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",3.9,12,Jakarta Barat,DKI Jakarta,-6.1823148725,106.782992184
5,Martabak Elin Bandung,['Dessert Parlor'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],80000,"Jl. Pinang Mas III/A 8, Pondok Indah, Jakarta",3.9,26,Jakarta Selatan,DKI Jakarta,-6.265635,106.778986
6,Bakso Sapi Rudi,['Quick Bites'],"['Bakso', 'Meat']",['Indonesia'],60000,"Jl. Rajawali Selatan I No. 54A, Gunung Sahari, Jakarta",3.9,22,Jakarta Pusat,DKI Jakarta,-6.1447059999999984,106.8375
7,A Siang,['Quick Bites'],['Kopi'],['Chinese'],65000,"Ruko Taman Palem Lestari, Blok B16 No. 9, Jl. Taman Palem Lestari, Cengkareng, Jakarta",3.9,7,Jakarta Barat,DKI Jakarta,-6.139208999999999,106.725797
8,Tropicale Juice Bar,['Toko Minuman'],"['Desserts', 'Jus', 'Minuman']",['Indonesia'],50000,"Ampera Garden, Jl. Ampera Raya No. 116, Cilandak, Jakarta",3.9,9,Jakarta Selatan,DKI Jakarta,-6.288935,106.817939
9,Sate Taichan Bang Tetew,['Quick Bites'],['Satay'],['Indonesia'],80000,"Jl. Danau Sunter Utara, Blok J 12 No. 26-28, Sunter, Jakarta 14350",3.9,36,Jakarta Utara,DKI Jakarta,-6.137467,106.873776
10,Kopi Lugu,['Toko Minuman'],"['Kopi', 'Minuman', 'Makanan Jalanan']",['No Region'],60000,"Epicentrum Walk, Lantai Ground, Jl. HR. Rasuna Said, Kuningan, Jakarta",3.9,9,Jakarta Selatan,DKI Jakarta,-6.218297214400001,106.83483459
11,Nasi Uduk Mpok Iyoh,['Quick Bites'],['Kopi'],"['Asia', 'Indonesia', 'Betawi']",100000,"Jl. Pahlawan No. 95, Ciputat Timur, Tangerang",3.9,36,Tangerang Selatan,Banten,-6.299995,106.761931
12,Pinokio Asli,['Kaki Lima'],['Seafood'],['Chinese'],100000,"Jl. Samanhudi No. 40B, Pasar Baru, Jakarta",3.9,8,Jakarta Pusat,DKI Jakarta,-6.161658999999998,106.83164
13,Cirengcrispi,"['Food Court', 'Kios']",['Snacks'],['Sunda'],40000,"Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",3.9,6,Jakarta Utara,DKI Jakarta,-6.150819939500001,106.891997158
14,Queen Café & Restaurant,"['Casual Dining', 'Kafe']",['Minuman'],"['Asia', 'Barat']",250000,"Ruko Mendrizio Square New, Jl. Jendral Sudirman No. 68-69, Serpong Utara, Tangerang 15639",3.9,8,Tangerang Kabupaten,Banten,-6.266648,106.63025
15,Geprek Ayam Keliling,['Food Court'],['Ayam'],"['Jawa', 'Indonesia']",60000,"ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Kemayoran, Jakarta",3.9,7,Jakarta Pusat,DKI Jakarta,-6.164832955700001,106.877443157
16,Warung Makan Betawi Bang Tamit Riman,['Quick Bites'],['Satay'],"['Indonesia', 'Betawi']",80000,"Jl. Bina Asih II, Jatiasih, Bekasi",3.5,4,Bekasi Kota,Jawa Barat,-6.301414,106.955406
17,Lagoon Lounge - The Sultan Hotel Jakarta,"['Casual Dining', 'Lounge']",['Kopi'],"['Indonesia', 'Barat']",350000,"The Sultan Hotel Jakarta, Jl. Gatot Subroto, Senayan, Jakarta",3.9,6,Jakarta Pusat,DKI Jakarta,-6.2165840316,106.810098923
18,Waroeng KG,['Quick Bites'],['Kopi'],['Jawa'],50000,"Ruko Permata Niaga 1, Jl. Taman Royal, Cipondoh, Tangerang",3.9,4,Tangerang Kota,Banten,-6.182252,106.661048
