Restaurant Name,Restaurant Area,Restaurant Rating,Restaurant Review,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info,Province,City,District/Kecamatan,Delivery Service,Place Type,Cuisine Regionality,Cuisines,alkoholtersedia,areamerokok,bawapulangtersedia,brunch,buffet,dessertsandbakes,didalamruangan,hanyabawapulang,hanyabir,hanyauntukreservasimeja,hanyawinedanbir,kehidupanmalam,liveentertainment,livemusic,makandengangrup,makanmewah,menyediakancocktail,parkirgratis,parkirvalettersedia,prasmanan,ramahuntukanak,ramahvegetarian,reservasimejadirekomendasikan,rooftop,ruangpribaditersedia,ruangsholat,sarapan,tempatdudukdiluar,wifitersedia
Holy Smokes,Senopati,4.4,1437,-6.2391432684,106.807954162,https://www.zomato.com/id/jakarta/holy-smokes-senopati,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",500000,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Kebayoran Baru,No,['Casual Dining'],['Barat'],"['Grill House', 'Steak']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
Pempek Megaria,Cikini,4.3,461,-6.1999,106.84373899999999,https://www.zomato.com/id/jakarta/pempek-megaria-cikini,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",70000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Pusat,Menteng,No,['Quick Bites'],['Palembang'],['Pempek'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tjikinii Lima,Cikini,4.0,391,-6.1898019937,106.837150007,https://www.zomato.com/id/jakarta/tjikinii-lima-cikini,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",300000,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Pusat,Menteng,No,['Casual Dining'],"['Indonesia', 'Barat']",['Kopi'],0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Gado-Gado Bon-Bin,Cikini,4.0,177,-6.192958999999999,106.83837700000001,https://www.zomato.com/id/jakarta/gado-gado-bon-bin-cikini,"Jl. Cikini 4 No. 5, Cikini, Jakarta",90000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Pusat,Menteng,No,['Quick Bites'],"['Jawa', 'Indonesia']",['Makanan Sehat'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM Wong Tegal,Tanjung Duren,3.9,12,-6.1823148725,106.782992184,https://www.zomato.com/id/jakarta/rm-wong-tegal-tanjung-duren,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",100000,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']",DKI Jakarta,Jakarta Barat,Grogol Petamburan,No,['Quick Bites'],"['Jawa', 'Indonesia']",['Satay'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Martabak Elin Bandung,Pondok Indah,3.9,26,-6.265635,106.778986,https://www.zomato.com/id/jakarta/martabak-elin-bandung-pondok-indah,"Jl. Pinang Mas III/A 8, Pondok Indah, Jakarta",80000,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Pesan Antar']",DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Yes,['Dessert Parlor'],['Indonesia'],"['Martabak', 'Makanan Jalanan']",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakso Sapi Rudi,Gunung Sahari,3.9,22,-6.144705999999999,106.8375,https://www.zomato.com/id/jakarta/bakso-sapi-rudi-gunung-sahari,"Jl. Rajawali Selatan I No. 54A, Gunung Sahari, Jakarta",60000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Pusat,Sawah Besar,No,['Quick Bites'],['Indonesia'],"['Bakso', 'Meat']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Siang,Cengkareng,3.9,7,-6.139208999999999,106.725797,https://www.zomato.com/id/jakarta/a-siang-cengkareng,"Ruko Taman Palem Lestari, Blok B16 No. 9, Jl. Taman Palem Lestari, Cengkareng, Jakarta",65000,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']",DKI Jakarta,Jakarta Barat,Cengkareng,Yes,['Quick Bites'],['Chinese'],['Kopi'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tropicale Juice Bar,Cilandak,3.9,9,-6.2889349999999995,106.817939,https://www.zomato.com/id/jakarta/tropicale-juice-bar-1-cilandak,"Ampera Garden, Jl. Ampera Raya No. 116, Cilandak, Jakarta",50000,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Pesan Antar']",DKI Jakarta,Jakarta Selatan,Pasar Minggu,Yes,['Toko Minuman'],['Indonesia'],"['Desserts', 'Jus', 'Minuman']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sate Taichan Bang Tetew,Sunter,3.9,36,-6.137467,106.873776,https://www.zomato.com/id/jakarta/sate-taichan-bang-tetew-sunter,"Jl. Danau Sunter Utara, Blok J 12 No. 26-28, Sunter, Jakarta 14350",80000,"['Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Makan Dengan Grup', 'Bawa Pulang Tersedia']",DKI Jakarta,Jakarta Utara,Tanjung Priok,No,['Quick Bites'],['Indonesia'],['Satay'],0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kopi Lugu,Kuningan,3.9,9,-6.218297214400001,106.83483459,https://www.zomato.com/id/jakarta/kopi-lugu-kuningan,"Epicentrum Walk, Lantai Ground, Jl. HR. Rasuna Said, Kuningan, Jakarta",60000,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Ruang Pribadi Tersedia', 'Pesan Antar']",DKI Jakarta,Jakarta Selatan,Setiabudi,Yes,['Toko Minuman'],['No Region'],"['Kopi', 'Minuman', 'Makanan Jalanan']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nasi Uduk Mpok Iyoh,Ciputat Timur,3.9,36,-6.299995,106.761931,https://www.zomato.com/id/jakarta/nasi-uduk-mpok-iyoh-ciputat-timur-tangerang,"Jl. Pahlawan No. 95, Ciputat Timur, Tangerang",100000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",Banten,Tangerang Selatan,Ciputat Timur,No,['Quick Bites'],"['Asia', 'Indonesia', 'Betawi']",['Kopi'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinokio Asli,Pasar Baru,3.9,8,-6.161658999999999,106.83164,https://www.zomato.com/id/jakarta/pinokio-asli-pasar-baru,"Jl. Samanhudi No. 40B, Pasar Baru, Jakarta",100000,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']",DKI Jakarta,Jakarta Pusat,Sawah Besar,No,['Kaki Lima'],['Chinese'],['Seafood'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cirengcrispi,Kelapa Gading,3.9,6,-6.150819939500001,106.891997158,https://www.zomato.com/id/jakarta/cirengcrispi-kelapa-gading,"Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",40000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Utara,Kelapa Gading,No,"['Food Court', 'Kios']",['Sunda'],['Snacks'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
